score,num_moves,game_duration,did_win
715,125,0.0046160221099853516,1
215,99,0.005923748016357422,0
210,99,0.0058858394622802734,0
225,99,0.005360126495361328,0
175,99,0.004527091979980469,0
160,99,0.004832029342651367,0
310,71,0.005259037017822266,0
175,99,0.005166053771972656,0
715,131,0.0037441253662109375,1
280,99,0.005266904830932617,0
115,99,0.005405902862548828,0
675,116,0.0032579898834228516,1
670,116,0.00426483154296875,1
150,99,0.005204200744628906,0
695,132,0.00409388542175293,1
235,99,0.005953073501586914,0
235,99,0.004644870758056641,0
505,106,0.0036149024963378906,0
260,99,0.0057680606842041016,0
695,127,0.003583192825317383,1
710,135,0.0044078826904296875,1
105,99,0.006413936614990234,0
135,99,0.005120992660522461,0
405,99,0.0035851001739501953,0
195,99,0.006434917449951172,0
680,108,0.0030829906463623047,1
140,99,0.005305051803588867,0
315,99,0.00526881217956543,0
140,99,0.005452156066894531,0
280,105,0.0074961185455322266,0
255,99,0.004548788070678711,0
670,114,0.0031020641326904297,1
240,99,0.005954742431640625,0
515,121,0.004690885543823242,0
265,99,0.00420689582824707,0
100,99,0.006680965423583984,0
715,127,0.0036058425903320312,1
135,99,0.00491786003112793,0
645,110,0.003618001937866211,1
700,126,0.004504203796386719,1
210,99,0.004280805587768555,0
665,117,0.004903078079223633,1
340,99,0.004110813140869141,0
95,99,0.0055370330810546875,0
185,99,0.00674891471862793,0
190,99,0.0051708221435546875,0
235,99,0.0048902034759521484,0
500,99,0.0044820308685302734,0
705,117,0.0030372142791748047,1
365,99,0.00410914421081543,0
240,99,0.005951881408691406,0
245,99,0.0040318965911865234,0
265,99,0.0042858123779296875,0
160,99,0.006484031677246094,0
315,99,0.004427194595336914,0
710,127,0.0037059783935546875,1
175,99,0.0062520503997802734,0
230,83,0.004292011260986328,0
300,99,0.004381895065307617,0
405,77,0.004830121994018555,0
260,99,0.005011081695556641,0
200,99,0.004666805267333984,0
150,99,0.00635075569152832,0
200,99,0.004929065704345703,0
205,99,0.0045888423919677734,0
200,99,0.0062787532806396484,0
700,130,0.004081010818481445,1
180,99,0.00511622428894043,0
145,99,0.006616830825805664,0
265,99,0.004405975341796875,0
695,126,0.003931283950805664,1
150,99,0.006610870361328125,0
205,99,0.004651069641113281,0
690,120,0.0035147666931152344,1
675,113,0.0036749839782714844,1
525,101,0.003826141357421875,0
185,99,0.004961967468261719,0
220,99,0.006055116653442383,0
210,99,0.005316734313964844,0
235,99,0.00739598274230957,0
130,99,0.0054132938385009766,0
265,99,0.004114866256713867,0
225,99,0.006008148193359375,0
305,99,0.004436969757080078,0
705,125,0.0035669803619384766,1
255,99,0.00656580924987793,0
740,125,0.003453969955444336,1
260,99,0.004683017730712891,0
300,77,0.005327939987182617,0
195,99,0.0046231746673583984,0
170,99,0.0050241947174072266,0
175,99,0.006525754928588867,0
255,99,0.004204750061035156,0
260,99,0.004558086395263672,0
295,99,0.005319833755493164,0
170,99,0.005326032638549805,0
195,99,0.004954099655151367,0
155,99,0.006541013717651367,0
685,131,0.0040738582611083984,1
485,109,0.004041910171508789,0
