final_score,num_moves,game_duration,did_succed
685,118,0.003608226776123047,1
265,499,0.03331899642944336,0
280,499,0.030405044555664062,0
270,499,0.032570838928222656,0
155,499,0.03313779830932617,0
165,499,0.03815913200378418,0
195,499,0.03584575653076172,0
135,499,0.03358006477355957,0
665,115,0.0038459300994873047,1
420,95,0.02091217041015625,0
665,113,0.0038979053497314453,1
725,123,0.0037729740142822266,1
240,499,0.027656078338623047,0
130,499,0.032895803451538086,0
170,499,0.03245210647583008,0
245,499,0.03300809860229492,0
665,112,0.0030379295349121094,1
220,499,0.03428792953491211,0
295,499,0.026463985443115234,0
165,499,0.032485008239746094,0
275,499,0.03176093101501465,0
265,499,0.026063203811645508,0
130,499,0.03292107582092285,0
255,499,0.03447413444519043,0
690,125,0.003997325897216797,1
680,119,0.004300832748413086,1
700,135,0.0064542293548583984,1
260,78,0.02621603012084961,0
290,499,0.029275894165039062,0
270,499,0.03225302696228027,0
170,499,0.03615999221801758,0
220,499,0.02986598014831543,0
170,499,0.03299593925476074,0
260,499,0.03264474868774414,0
205,499,0.0322721004486084,0
265,499,0.029779911041259766,0
380,89,0.020764827728271484,0
250,499,0.030901670455932617,0
720,130,0.004052877426147461,1
210,499,0.02862071990966797,0
235,499,0.029228925704956055,0
190,499,0.030400991439819336,0
295,499,0.026773929595947266,0
395,93,0.02128314971923828,0
270,499,0.030447959899902344,0
180,499,0.028940916061401367,0
230,499,0.03307390213012695,0
695,131,0.0037250518798828125,1
140,499,0.03604602813720703,0
730,153,0.005864858627319336,1
670,118,0.0042989253997802734,1
145,499,0.033303022384643555,0
295,499,0.033325910568237305,0
170,499,0.03235006332397461,0
190,499,0.031897783279418945,0
735,135,0.0045168399810791016,1
285,82,0.02014303207397461,0
130,499,0.03536677360534668,0
195,499,0.03365492820739746,0
270,499,0.03209376335144043,0
710,129,0.003757953643798828,1
265,499,0.03104090690612793,0
710,123,0.00347900390625,1
280,499,0.027851104736328125,0
185,499,0.03184103965759277,0
170,499,0.03165411949157715,0
205,499,0.0331268310546875,0
85,499,0.03180193901062012,0
160,499,0.030659198760986328,0
165,499,0.03144121170043945,0
175,499,0.032351016998291016,0
350,499,0.025626182556152344,0
225,499,0.03165411949157715,0
120,499,0.03206515312194824,0
205,499,0.03167104721069336,0
190,499,0.0290529727935791,0
670,115,0.0031538009643554688,1
275,499,0.03127694129943848,0
395,92,0.01745891571044922,0
180,499,0.030594825744628906,0
130,499,0.029904842376708984,0
170,499,0.0319669246673584,0
735,165,0.005856037139892578,1
150,499,0.030887365341186523,0
210,499,0.03034687042236328,0
175,499,0.030920982360839844,0
565,115,0.019636869430541992,0
690,137,0.004270792007446289,1
700,124,0.004764080047607422,1
415,499,0.02872920036315918,0
335,499,0.028831005096435547,0
365,499,0.025655031204223633,0
180,499,0.03450822830200195,0
245,499,0.030009031295776367,0
225,499,0.034929752349853516,0
225,499,0.032351016998291016,0
200,499,0.03454995155334473,0
230,499,0.031831979751586914,0
230,499,0.031395912170410156,0
215,499,0.0325779914855957,0
90,499,0.03634476661682129,0
390,83,0.024615049362182617,0
150,499,0.02873516082763672,0
700,135,0.005635976791381836,1
100,499,0.03536200523376465,0
360,499,0.033650875091552734,0
305,499,0.02500772476196289,0
690,124,0.004669904708862305,1
250,499,0.0337071418762207,0
225,499,0.028025150299072266,0
200,499,0.035080909729003906,0
95,499,0.033385276794433594,0
170,499,0.03607988357543945,0
685,117,0.0032570362091064453,1
120,499,0.03328418731689453,0
235,499,0.028548717498779297,0
170,499,0.035074710845947266,0
200,499,0.03029489517211914,0
140,499,0.03440380096435547,0
200,499,0.032968997955322266,0
205,499,0.025855064392089844,0
700,119,0.004537105560302734,1
235,499,0.03212594985961914,0
225,499,0.027091026306152344,0
675,126,0.003937959671020508,1
145,499,0.03325915336608887,0
235,499,0.03234601020812988,0
130,499,0.03509187698364258,0
200,499,0.026956796646118164,0
205,499,0.0304110050201416,0
410,499,0.02608203887939453,0
170,499,0.03393912315368652,0
340,82,0.024348735809326172,0
240,499,0.02933788299560547,0
650,115,0.003301858901977539,1
160,499,0.033264875411987305,0
235,499,0.031155824661254883,0
205,499,0.030518054962158203,0
230,499,0.03217506408691406,0
45,499,0.034356117248535156,0
100,499,0.03214597702026367,0
700,138,0.004865169525146484,1
255,499,0.03199005126953125,0
280,499,0.03209877014160156,0
245,499,0.02935791015625,0
220,499,0.029584884643554688,0
