score,num_moves,game_duration,did_win
250,78,0.016743183135986328,0
730,123,0.004233121871948242,1
165,299,0.019231081008911133,0
740,130,0.0045719146728515625,1
470,299,0.01445913314819336,0
350,299,0.01579904556274414,0
750,141,0.005716085433959961,1
150,299,0.019622087478637695,0
745,129,0.004591703414916992,1
255,299,0.01581740379333496,0
725,131,0.0050199031829833984,1
220,299,0.015339136123657227,0
205,299,0.01911616325378418,0
235,299,0.018604040145874023,0
250,299,0.018267154693603516,0
695,111,0.004664182662963867,1
740,120,0.004357814788818359,1
180,299,0.019421100616455078,0
735,127,0.004199981689453125,1
390,95,0.01323080062866211,0
410,102,0.012550115585327148,0
720,126,0.004945039749145508,1
205,299,0.018305063247680664,0
240,299,0.017323970794677734,0
160,299,0.019582033157348633,0
715,124,0.00500798225402832,1
750,132,0.0045588016510009766,1
350,299,0.015510082244873047,0
700,121,0.0047490596771240234,1
700,122,0.004705190658569336,1
760,151,0.00728297233581543,1
210,299,0.01902604103088379,0
715,124,0.004746198654174805,1
355,299,0.015564918518066406,0
225,299,0.018095731735229492,0
260,299,0.01742720603942871,0
740,137,0.00498199462890625,1
235,299,0.016947031021118164,0
710,114,0.004703998565673828,1
715,127,0.0047113895416259766,1
205,299,0.019350051879882812,0
185,299,0.015788793563842773,0
710,129,0.005240917205810547,1
755,137,0.004966259002685547,1
130,299,0.019128084182739258,0
180,299,0.018642902374267578,0
730,118,0.004112958908081055,1
110,299,0.018852949142456055,0
235,299,0.02009892463684082,0
740,140,0.005175113677978516,1
720,127,0.004988908767700195,1
235,299,0.018445968627929688,0
710,129,0.004877805709838867,1
305,299,0.014822959899902344,0
335,90,0.011115789413452148,0
740,129,0.00596308708190918,1
365,299,0.01578807830810547,0
710,125,0.004683971405029297,1
265,299,0.02044224739074707,0
730,127,0.004663944244384766,1
725,130,0.004951000213623047,1
225,299,0.019045114517211914,0
705,142,0.0058040618896484375,1
710,120,0.004363059997558594,1
745,121,0.005056858062744141,1
755,150,0.006654024124145508,1
265,299,0.01894402503967285,0
730,130,0.00486302375793457,1
210,299,0.019190073013305664,0
730,127,0.0045850276947021484,1
730,140,0.005912065505981445,1
725,128,0.005689859390258789,1
230,299,0.018983125686645508,0
355,103,0.011616945266723633,0
135,299,0.02015995979309082,0
215,299,0.019027233123779297,0
205,299,0.018461942672729492,0
705,113,0.004204988479614258,1
735,134,0.005171060562133789,1
200,299,0.018327713012695312,0
710,127,0.004748106002807617,1
95,299,0.02105712890625,0
170,299,0.01763129234313965,0
195,299,0.018985986709594727,0
740,134,0.0050618648529052734,1
750,142,0.005300045013427734,1
140,299,0.01998424530029297,0
725,127,0.004106998443603516,1
440,299,0.01616501808166504,0
755,139,0.005199909210205078,1
760,143,0.005830049514770508,1
240,299,0.020399808883666992,0
195,299,0.018695831298828125,0
120,299,0.02008819580078125,0
210,299,0.0172421932220459,0
240,299,0.017277002334594727,0
370,93,0.013583898544311523,0
130,299,0.019500017166137695,0
245,299,0.018352031707763672,0
230,299,0.019129037857055664,0
750,132,0.0053157806396484375,1
205,299,0.018970012664794922,0
250,299,0.019331932067871094,0
345,299,0.01473689079284668,0
740,136,0.005055904388427734,1
730,141,0.005521059036254883,1
730,128,0.006302356719970703,1
735,138,0.006018877029418945,1
180,299,0.018994808197021484,0
750,136,0.005403995513916016,1
735,139,0.006555080413818359,1
145,299,0.019721031188964844,0
740,136,0.004806041717529297,1
720,125,0.004792928695678711,1
340,299,0.01738119125366211,0
705,120,0.004686832427978516,1
175,299,0.01965785026550293,0
295,85,0.013033866882324219,0
215,299,0.017612934112548828,0
665,117,0.005045890808105469,1
755,129,0.00612187385559082,1
750,133,0.0054759979248046875,1
215,299,0.01874685287475586,0
710,126,0.005139827728271484,1
735,133,0.005151033401489258,1
250,299,0.017281055450439453,0
150,299,0.019928932189941406,0
330,299,0.015970945358276367,0
735,136,0.00532078742980957,1
170,299,0.01932811737060547,0
190,299,0.01944899559020996,0
730,139,0.005740642547607422,1
215,299,0.017065048217773438,0
745,140,0.0056078433990478516,1
690,118,0.004415035247802734,1
745,135,0.006577968597412109,1
755,139,0.00506281852722168,1
720,128,0.005234956741333008,1
205,299,0.02022695541381836,0
730,131,0.005469083786010742,1
260,299,0.019479036331176758,0
325,299,0.016312837600708008,0
445,299,0.01625204086303711,0
740,134,0.005471229553222656,1
200,299,0.019405126571655273,0
225,299,0.018368005752563477,0
715,126,0.004949092864990234,1
695,145,0.007158041000366211,1
190,299,0.019744157791137695,0
110,299,0.019355058670043945,0
695,111,0.004611015319824219,1
120,299,0.019163131713867188,0
220,299,0.019656896591186523,0
165,299,0.017228126525878906,0
220,299,0.018959999084472656,0
720,126,0.004472970962524414,1
195,299,0.019472122192382812,0
220,299,0.019150257110595703,0
130,299,0.01957082748413086,0
250,299,0.019002914428710938,0
750,138,0.004888057708740234,1
355,91,0.013300895690917969,0
205,299,0.019092798233032227,0
105,299,0.01884174346923828,0
720,140,0.0054531097412109375,1
750,139,0.005694150924682617,1
750,141,0.006041288375854492,1
745,121,0.004435062408447266,1
730,127,0.005772113800048828,1
320,299,0.01698017120361328,0
710,124,0.004759073257446289,1
230,299,0.015173912048339844,0
200,299,0.019019603729248047,0
715,122,0.0046689510345458984,1
740,120,0.0047380924224853516,1
260,299,0.01775193214416504,0
315,299,0.017419099807739258,0
670,116,0.004772186279296875,1
145,299,0.019083023071289062,0
250,299,0.020167827606201172,0
710,123,0.005324125289916992,1
325,299,0.017342805862426758,0
120,299,0.018886804580688477,0
320,299,0.018754005432128906,0
205,299,0.019370079040527344,0
435,299,0.015847206115722656,0
710,114,0.004974842071533203,1
355,79,0.012617111206054688,0
310,79,0.016283035278320312,0
430,116,0.013443708419799805,0
235,299,0.019034147262573242,0
360,299,0.017514944076538086,0
715,120,0.0048236846923828125,1
335,96,0.014222145080566406,0
130,299,0.01903700828552246,0
400,299,0.015495061874389648,0
725,125,0.0041620731353759766,1
730,118,0.005884885787963867,1
85,299,0.0189821720123291,0
310,299,0.015744924545288086,0
175,299,0.018739938735961914,0
405,299,0.015916824340820312,0
380,92,0.011271953582763672,0
215,299,0.020233154296875,0
720,122,0.004111051559448242,1
755,134,0.005743980407714844,1
270,299,0.02072286605834961,0
470,94,0.012345075607299805,0
230,299,0.019670963287353516,0
710,119,0.004086971282958984,1
305,299,0.01738286018371582,0
725,132,0.00532984733581543,1
285,299,0.018803119659423828,0
130,299,0.019360065460205078,0
230,299,0.020517826080322266,0
750,136,0.005156278610229492,1
230,299,0.01883697509765625,0
200,299,0.01756119728088379,0
715,124,0.004804849624633789,1
200,299,0.017611980438232422,0
330,299,0.018843889236450195,0
700,120,0.004560947418212891,1
360,299,0.019208192825317383,0
190,299,0.019298076629638672,0
275,299,0.015946626663208008,0
735,148,0.005179882049560547,1
315,299,0.015771150588989258,0
320,299,0.015801191329956055,0
230,299,0.018352985382080078,0
125,299,0.018751859664916992,0
390,299,0.015529394149780273,0
255,299,0.018011808395385742,0
270,299,0.014299869537353516,0
725,130,0.005206584930419922,1
185,299,0.01874685287475586,0
715,125,0.004400730133056641,1
710,126,0.0045239925384521484,1
740,125,0.0054340362548828125,1
730,128,0.0045049190521240234,1
735,131,0.004656791687011719,1
740,130,0.0056591033935546875,1
260,299,0.018655061721801758,0
140,299,0.019560813903808594,0
120,299,0.01859879493713379,0
740,127,0.0045011043548583984,1
730,132,0.0050542354583740234,1
125,299,0.019639968872070312,0
725,131,0.005414009094238281,1
730,126,0.004352092742919922,1
335,299,0.01685190200805664,0
215,299,0.01857614517211914,0
270,299,0.01861095428466797,0
740,130,0.004862070083618164,1
245,299,0.015852689743041992,0
320,299,0.018162012100219727,0
470,88,0.014730215072631836,0
180,299,0.020547151565551758,0
705,129,0.00467371940612793,1
70,299,0.019157886505126953,0
215,299,0.017657041549682617,0
255,299,0.018913984298706055,0
180,299,0.019380807876586914,0
160,299,0.016021013259887695,0
215,299,0.014950752258300781,0
170,299,0.018558025360107422,0
300,81,0.016056060791015625,0
730,131,0.004742860794067383,1
730,133,0.005240917205810547,1
370,299,0.01578211784362793,0
270,299,0.017436742782592773,0
735,135,0.0056269168853759766,1
710,128,0.004971027374267578,1
705,126,0.006174802780151367,1
720,126,0.005257129669189453,1
730,118,0.005305051803588867,1
420,299,0.01680469512939453,0
710,114,0.004395008087158203,1
95,299,0.0198209285736084,0
205,299,0.01872110366821289,0
705,122,0.004426240921020508,1
740,131,0.004953145980834961,1
325,299,0.018801212310791016,0
245,299,0.017482995986938477,0
185,299,0.018666982650756836,0
255,299,0.01875019073486328,0
735,129,0.005051136016845703,1
700,122,0.004426002502441406,1
395,299,0.015639066696166992,0
130,299,0.01923513412475586,0
300,299,0.015295267105102539,0
715,125,0.0049610137939453125,1
755,141,0.005095958709716797,1
280,299,0.015681982040405273,0
740,144,0.0057027339935302734,1
265,299,0.01890707015991211,0
735,133,0.004992961883544922,1
255,299,0.02027273178100586,0
750,152,0.0062448978424072266,1
210,299,0.018959999084472656,0
245,299,0.018484830856323242,0
200,299,0.019482135772705078,0
135,299,0.01920175552368164,0
130,299,0.019417762756347656,0
740,142,0.005898952484130859,1
160,299,0.01871180534362793,0
740,130,0.00503993034362793,1
155,299,0.01830887794494629,0
360,299,0.016849994659423828,0
330,93,0.01095128059387207,0
750,132,0.006018877029418945,1
190,299,0.018970966339111328,0
755,136,0.004728794097900391,1
745,128,0.004399299621582031,1
670,126,0.0065441131591796875,1
305,299,0.020775318145751953,0
725,138,0.00528407096862793,1
105,299,0.01897597312927246,0
